Stock,Date,Open,High,Low,Close,Adj Close,Volume,Daily Return,Log Return,SMA_20,SMA_50,EMA_12,EMA_26,Rolling Volatility,Month,Quarter,Day of Week
BHARTIARTL_NS,2021-09-20,711.6389770507812,720.1786499023438,707.0255737304688,711.5899047851562,695.4793701171875,14330899,-0.0043946582582432,-0.0044043431537999,636.8608489990235,584.4588580322265,665.6784928447694,634.2244168203279,0.0224123879608347,9,3,0
BHARTIARTL_NS,2021-09-21,709.5776977539062,727.0986938476562,708.6942749023438,713.258544921875,697.1102905273438,14216876,0.0023450306079983,0.0023422853147489,641.8494598388672,588.3221520996094,670.514154026704,638.8826296875142,0.0223635349907289,9,3,1
BHARTIARTL_NS,2021-09-22,713.6021118164062,718.55908203125,710.7555541992188,713.3567504882812,697.206298828125,16348622,0.0001377232585515,0.0001377137755742,646.965185546875,591.9772717285156,674.6206378423072,643.2029014757076,0.0220627054507474,9,3,2
BHARTIARTL_NS,2021-09-23,719.8841552734375,726.460693359375,709.8721313476562,713.4058227539062,697.2542724609375,26497345,6.880837550249375e-05,6.880600831481171e-05,652.4502593994141,595.7599822998047,678.1027354759426,647.2067067338727,0.0212631955761661,9,3,3
BHARTIARTL_NS,2021-09-24,715.6143188476562,739.1229858398438,714.5836791992188,725.7736206054688,709.3419799804688,72175065,0.0173361541075511,0.0171875974641014,659.7652862548828,599.776771850586,682.9087730920236,651.8093195669538,0.0213216491874604,9,3,4
BHARTIARTL_NS,2021-09-27,731.0,731.9000244140625,718.1500244140625,722.5499877929688,706.1913452148438,11282248,-0.0044416302073532,-0.004451523552726,666.52705078125,603.7305487060547,686.4907072647652,655.8376177630938,0.0214043650548722,9,3,0
BHARTIARTL_NS,2021-09-28,724.4000244140625,726.7999877929688,686.0,696.1500244140625,680.3890380859375,21944239,-0.0365372746405671,-0.0372214785813768,670.7851257324219,607.2565405273438,685.551988929561,657.6562414907119,0.0225061085218131,9,3,1
BHARTIARTL_NS,2021-09-29,697.0,702.0,689.1500244140625,694.0999755859375,678.385498046875,16729859,-0.0029446977051523,-0.0029490418576797,672.8516479492188,610.4412255859374,684.4494518706863,659.1917419763536,0.0224853312669575,9,3,2
BHARTIARTL_NS,2021-09-30,695.7999877929688,709.7999877929688,686.7999877929688,688.2999877929688,672.716796875,13911568,-0.0083561650244523,-0.0083912734896323,674.522006225586,613.5643420410156,682.6444280251961,660.1935978947719,0.0224027079520183,9,3,3
BHARTIARTL_NS,2021-10-01,687.3499755859375,687.3499755859375,667.6500244140625,675.9000244140625,660.5975341796875,14952128,-0.0180154007624168,-0.0181796538081025,675.5816040039062,616.6887475585937,679.2525982028102,660.2235191010619,0.0227014459212219,10,4,4
