Stock,Date,Open,High,Low,Close,Adj Close,Volume,Daily Return,Log Return,SMA_20,SMA_50,EMA_12,EMA_26,Rolling Volatility,Month,Quarter,Day of Week,Risk_Level
BHARTIARTL_NS,2021-09-16,721.4547119140625,723.4178466796875,702.2158813476562,705.35693359375,689.3875732421875,45001991,-0.0095106889360874,-0.0095562043566686,626.4783020019531,576.8339532470703,653.2989128808209,623.8112625810128,0.0234386950049904,9,3,3,Medium Risk
BHARTIARTL_NS,2021-09-17,707.7127075195312,721.2092895507812,707.7127075195312,714.7308959960938,698.5492553710938,26649321,0.0132895956998744,0.0132020636802269,631.5244689941406,580.7106774902344,660.2605040331706,629.347410195093,0.0232267316960847,9,3,4,Medium Risk
BHARTIARTL_NS,2021-09-20,711.6389770507812,720.1786499023438,707.0255737304688,711.5899047851562,695.4794311523438,14330899,-0.0043945708840805,-0.0044042553939665,636.8608428955079,584.4588507080078,665.6788005130434,634.2460784141485,0.0224123902981335,9,3,0,Medium Risk
BHARTIARTL_NS,2021-09-21,709.5776977539062,727.0986938476562,708.6942749023438,713.258544921875,697.1102294921875,14216876,0.0023448548825399,0.0023421100003926,641.8494476318359,588.322144165039,670.5144049713733,638.9026821977069,0.0223635414412281,9,3,1,Medium Risk
BHARTIARTL_NS,2021-09-22,713.6021118164062,718.55908203125,710.7555541992188,713.3567504882812,697.2062377929688,16348622,0.0001377232706099,0.0001377137876309,646.9651733398438,591.977261352539,674.6208407900804,643.2214640936522,0.0220627152178962,9,3,2,Medium Risk
BHARTIARTL_NS,2021-09-23,719.8841552734375,726.460693359375,709.8721313476562,713.4058227539062,697.2542724609375,26497345,6.889592399628164e-05,6.889355078111259e-05,652.4502471923828,595.7599719238282,678.1029072009815,647.2238943430807,0.0212632047861867,9,3,3,Medium Risk
BHARTIARTL_NS,2021-09-24,715.6143188476562,739.1229858398438,714.5836791992188,725.7736206054688,709.342041015625,72175065,0.0173362416439903,0.0171876835088518,659.7652770996094,599.7767633056641,682.9089277878497,651.8252385410469,0.0213216612130642,9,3,4,Medium Risk
BHARTIARTL_NS,2021-09-27,731.0,731.9000244140625,718.1500244140625,722.5499877929688,706.1913452148438,11282248,-0.004441715869921,-0.0044516095974764,666.5270446777344,603.7305407714844,686.4908381612335,655.8523575539208,0.0214043784863734,9,3,0,Medium Risk
BHARTIARTL_NS,2021-09-28,724.4000244140625,726.7999877929688,686.0,696.1500244140625,680.3890991210938,21944239,-0.0365371882119288,-0.0372213888751203,670.7851196289063,607.2565344238282,685.552109078135,657.669893966304,0.0225061188652697,9,3,1,Medium Risk
BHARTIARTL_NS,2021-09-29,697.0,702.0,689.1500244140625,694.0999755859375,678.385498046875,16729859,-0.0029447871472469,-0.0029491315639361,672.8516387939453,610.4412194824218,684.4495535348643,659.2043831574574,0.0224853425326951,9,3,2,Medium Risk
