Date,Open,High,Low,Close,Adj Close,Volume
2021-07-08,266.95001220703125,268.4750061035156,264.0,265.5,245.29525756835935,9131020
2021-07-09,263.70001220703125,265.4750061035156,261.625,262.8999938964844,242.89308166503903,11449216
2021-07-12,265.375,266.07501220703125,261.6000061035156,262.92498779296875,242.91619873046875,7731112
2021-07-13,264.0,264.75,261.29998779296875,262.42498779296875,242.4542388916016,8344716
2021-07-14,263.125,281.6499938964844,262.79998779296875,280.8500061035156,259.4771423339844,58696166
2021-07-15,280.5,289.82501220703125,279.5,287.95001220703125,266.03680419921875,62132402
2021-07-16,290.0,294.625,284.1499938964844,288.875,266.891357421875,73815654
2021-07-19,286.2749938964844,292.0,285.0,286.8999938964844,265.06671142578125,21715702
2021-07-20,287.8500061035156,289.07501220703125,280.7749938964844,284.04998779296875,262.4335327148437,21047054
2021-07-22,288.54998779296875,292.5,285.5,292.1000061035156,269.8710021972656,24086770
2021-07-23,293.25,300.8999938964844,291.8500061035156,299.57501220703125,276.777099609375,28114910
2021-07-26,300.04998779296875,300.25,294.125,295.2250061035156,272.7581481933594,12199806
2021-07-27,294.45001220703125,297.32501220703125,292.07501220703125,295.7250061035156,273.2200927734375,7966274
2021-07-28,295.4750061035156,296.67498779296875,291.5,295.9750061035156,273.4510498046875,9147860
2021-07-29,296.79998779296875,299.0,293.95001220703125,295.2250061035156,272.7581481933594,11668940
2021-07-30,294.42498779296875,296.5,292.5,293.57501220703125,271.23370361328125,6356412
2021-08-02,294.1000061035156,297.70001220703125,291.125,296.125,273.5896911621094,9247796
2021-08-03,302.0,302.0,297.07501220703125,299.70001220703125,276.8926086425781,10331214
2021-08-04,301.75,302.0,297.1499938964844,298.3999938964844,275.6914978027344,9018712
2021-08-05,298.75,307.25,298.75,300.45001220703125,277.5855407714844,22588728
2021-08-06,301.875,303.20001220703125,298.1499938964844,299.0,276.2458190917969,10540400
2021-08-09,300.0,303.0,297.75,298.3999938964844,275.6914978027344,9293502
2021-08-10,299.20001220703125,304.4750061035156,296.54998779296875,301.92498779296875,278.9482421875,14055564
2021-08-11,300.95001220703125,303.25,299.2250061035156,300.625,277.7472229003906,8565026
2021-08-12,301.0,304.45001220703125,300.32501220703125,302.92498779296875,279.8721618652344,7905016
2021-08-13,303.0,310.2250061035156,303.0,307.75,284.3300170898437,16729368
2021-08-16,308.04998779296875,310.45001220703125,305.25,307.0249938964844,283.6601867675781,7144852
2021-08-17,306.875,318.5249938964844,305.6000061035156,317.45001220703125,293.2917785644531,23645544
2021-08-18,317.875,319.6000061035156,312.29998779296875,314.70001220703125,290.7510681152344,13847154
2021-08-20,311.25,315.9750061035156,309.0,310.0249938964844,286.4318542480469,12341386
2021-08-23,313.0,318.4750061035156,311.75,314.42498779296875,290.4969787597656,14072750
2021-08-24,318.0,318.0,312.04998779296875,316.7749938964844,292.6681823730469,8967436
2021-08-25,317.5,321.3999938964844,314.7749938964844,315.82501220703125,291.7904968261719,12815436
2021-08-26,316.1000061035156,319.25,313.0,314.4750061035156,290.54315185546875,8416702
2021-08-27,314.75,318.0,312.6499938964844,317.4750061035156,293.31494140625,8743108
2021-08-30,317.9750061035156,319.75,315.2749938964844,316.2250061035156,292.1600036621094,8743710
2021-08-31,317.29998779296875,321.2749938964844,314.45001220703125,320.4750061035156,296.08660888671875,15591816
2021-09-01,321.8999938964844,323.67498779296875,317.625,321.0249938964844,296.5947570800781,9450444
2021-09-02,322.5,328.5,320.375,325.7250061035156,300.9370422363281,9077556
2021-09-03,326.5,328.3500061035156,324.75,327.54998779296875,302.6231689453125,7549940
2021-09-06,328.32501220703125,344.3500061035156,328.32501220703125,343.2250061035156,317.1053161621094,24676832
2021-09-07,345.0,345.0,336.375,337.125,311.469482421875,12812218
2021-09-08,337.70001220703125,337.70001220703125,330.0,331.1000061035156,305.9030456542969,13432462
2021-09-09,330.45001220703125,332.2749938964844,327.0,331.17498779296875,305.9722900390625,11611460
2021-09-13,331.17498779296875,335.92498779296875,328.92498779296875,335.375,309.8526916503906,11177578
2021-09-14,335.5,337.8500061035156,335.0,336.7250061035156,311.0999755859375,7322676
2021-09-15,337.0,340.2749938964844,335.0,337.0249938964844,311.37713623046875,8290832
2021-09-16,339.875,340.375,332.5,333.92498779296875,308.5130310058594,9315692
2021-09-17,335.70001220703125,337.20001220703125,331.375,332.625,307.3119812011719,10815562
2021-09-20,328.875,335.25,326.70001220703125,331.25,306.0416564941406,9092860
2021-09-21,330.25,334.5,328.54998779296875,333.79998779296875,308.39752197265625,7367102
2021-09-22,334.5,337.25,331.5,334.07501220703125,308.651611328125,9583304
2021-09-23,336.45001220703125,338.5,335.70001220703125,337.1499938964844,311.4926452636719,6462586
2021-09-24,340.25,349.57501220703125,337.5,338.25,312.5089416503906,24253176
2021-09-27,339.0249938964844,339.17498779296875,325.5,326.95001220703125,302.06884765625,16798164
2021-09-28,326.95001220703125,326.95001220703125,317.625,319.79998779296875,295.4630126953125,16224924
2021-09-29,314.9750061035156,323.25,313.67498779296875,320.375,295.99420166015625,17679132
2021-09-30,319.375,323.375,316.2749938964844,317.04998779296875,292.9222106933594,12027918
2021-10-01,317.3999938964844,319.875,315.1000061035156,318.125,293.9154357910156,8417708
2021-10-04,319.95001220703125,321.79998779296875,317.9750061035156,320.5249938964844,296.1327819824219,10494244
2021-10-05,318.2250061035156,324.75,317.0249938964844,323.42498779296875,298.81207275390625,10912148
2021-10-06,325.20001220703125,325.2250061035156,317.20001220703125,317.875,293.6844482421875,9673198
2021-10-07,319.5,324.2749938964844,318.45001220703125,321.4750061035156,297.010498046875,7448686
