Date,Open,High,Low,Close,Adj Close,Volume
2021-07-08,3298.0,3298.0,3231.89990234375,3258.5,2839.976806640625,2485811
2021-07-09,3250.0,3282.0,3201.0,3208.14990234375,2796.09375,6365067
2021-07-12,3235.0,3236.0,3188.35009765625,3193.10009765625,2782.97705078125,1892226
2021-07-13,3214.0,3214.0,3175.0,3187.550048828125,2778.1396484375,1809339
2021-07-14,3187.0,3222.0,3185.0,3214.550048828125,2801.6708984375,2044279
2021-07-15,3227.60009765625,3231.85009765625,3194.0,3202.949951171875,2797.6533203125,2232968
2021-07-16,3213.0,3219.85009765625,3192.0,3194.800048828125,2790.53515625,1256526
2021-07-19,3180.0,3199.800048828125,3176.0,3184.60009765625,2781.62548828125,1597058
2021-07-20,3184.60009765625,3215.0,3156.14990234375,3205.800048828125,2800.14306640625,1811945
2021-07-22,3190.0,3224.949951171875,3190.0,3216.35009765625,2809.3583984375,2859334
2021-07-23,3230.0,3241.550048828125,3206.64990234375,3212.85009765625,2806.301025390625,1776193
2021-07-26,3200.0,3224.25,3190.85009765625,3197.550048828125,2792.936767578125,1259611
2021-07-27,3200.0,3210.0,3161.14990234375,3182.949951171875,2780.1845703125,1121367
2021-07-28,3188.0,3204.449951171875,3132.39990234375,3197.800048828125,2793.155517578125,1660654
2021-07-29,3200.25,3225.449951171875,3190.300048828125,3195.800048828125,2791.408203125,1731997
2021-07-30,3219.0,3223.5,3162.35009765625,3167.449951171875,2766.64501953125,2999943
2021-08-02,3180.0,3224.89990234375,3167.0,3219.39990234375,2812.02197265625,2608669
2021-08-03,3229.0,3290.0,3218.949951171875,3284.89990234375,2869.234130859375,3804735
2021-08-04,3300.0,3305.199951171875,3261.199951171875,3273.949951171875,2859.669189453125,2929598
2021-08-05,3275.0,3315.0,3262.5,3283.949951171875,2868.404052734375,2534521
2021-08-06,3272.550048828125,3324.0,3265.0,3309.800048828125,2890.982666015625,2292362
2021-08-09,3323.89990234375,3337.0,3310.0,3322.699951171875,2902.250732421875,1510489
2021-08-10,3315.60009765625,3349.89990234375,3315.60009765625,3333.89990234375,2912.033447265625,2040777
2021-08-11,3350.0,3360.0,3327.10009765625,3344.199951171875,2921.030029296875,1929707
2021-08-12,3326.0,3368.0,3326.0,3351.75,2927.62548828125,1310205
2021-08-13,3360.75,3480.0,3357.5,3463.39990234375,3025.146728515625,4363584
2021-08-16,3460.0,3494.35009765625,3436.5,3472.949951171875,3033.48779296875,2083489
2021-08-17,3482.10009765625,3560.800048828125,3463.0,3553.050048828125,3103.452880859375,4336019
2021-08-18,3573.85009765625,3595.0,3536.60009765625,3560.550048828125,3110.00341796875,2631309
2021-08-20,3506.0,3575.0,3500.0,3559.5,3109.086669921875,2836148
2021-08-23,3580.0,3673.0,3561.89990234375,3637.39990234375,3177.128662109375,3744176
