Date,Open,High,Low,Close,Adj Close,Volume
2021-07-06,195.7125244140625,196.24212646484372,194.7496032714844,194.99034118652344,159.44651794433594,11515716
2021-07-07,194.99034118652344,197.5902099609375,194.7977600097656,196.1939849853516,160.43077087402344,18568033
2021-07-08,195.9532470703125,196.91616821289065,194.31629943847656,194.5088806152344,159.0528106689453,21730892
2021-07-09,194.5088806152344,194.8459014892578,193.44967651367188,193.8829803466797,158.54103088378906,12289809
2021-07-12,194.5088806152344,195.0384826660156,193.4978179931641,193.6422576904297,158.34417724609375,13589278
2021-07-13,194.5088806152344,194.7014617919922,193.8829803466797,194.36444091796875,158.93472290039062,11247522
2021-07-14,194.36444091796875,197.5420684814453,194.22000122070312,196.531005859375,160.7063446044922,21269167
2021-07-15,196.8198699951172,200.767822265625,195.37550354003903,198.6012725830078,162.39923095703125,29963443
2021-07-16,199.99749755859372,201.87518310546875,199.5160369873047,200.1900787353516,163.6984100341797,30137464
2021-07-19,199.13087463378903,201.73074340820312,198.6975555419922,200.04563903808597,163.580322265625,17099088
2021-07-20,200.4789581298828,201.5381622314453,198.74571228027344,199.13087463378903,162.83229064941406,24567907
2021-07-22,199.32345581054688,200.527099609375,198.2161102294922,199.32345581054688,162.98976135253906,19016769
2021-07-23,199.32345581054688,205.6786956787109,198.8419952392578,204.523193359375,167.24166870117188,46241640
2021-07-26,206.06385803222656,207.36380004882807,202.98252868652344,203.31954956054688,166.25743103027344,49084040
2021-07-27,204.13803100585935,205.1009521484375,200.23822021484372,200.91226196289065,164.2889404296875,25378089
2021-07-28,200.5752410888672,202.2122039794922,199.7567596435547,201.3455810546875,164.64329528808594,15304399
2021-07-29,201.3455810546875,202.40478515625,198.0235137939453,198.40869140625,162.24176025390625,16204679
2021-07-30,198.4568328857422,199.4197540283203,197.0124664306641,197.34947204589844,161.37564086914062,15515733
2021-08-02,198.7938537597656,199.80491638183597,197.8309326171875,199.61233520507807,163.22601318359375,10046707
2021-08-03,199.80491638183597,203.07882690429688,198.7938537597656,202.11590576171875,165.27320861816406,19179805
2021-08-04,203.07882690429688,203.2714080810547,200.38265991210935,200.86412048339844,164.24960327148438,11421835
