Date,Open,High,Low,Close,Adj Close,Volume
2021-07-06,989.8941040039062,991.7169799804688,978.4719848632812,980.5948486328124,962.3599853515624,10070124
2021-07-07,981.956298828125,981.956298828125,968.2266845703124,973.7877197265624,955.679443359375,10454892
2021-07-08,976.9721069335938,976.9721069335938,960.3811645507812,965.7345581054688,947.7760009765624,11185460
2021-07-09,963.6116333007812,965.3192138671876,953.5048217773438,955.8584594726562,938.0836181640624,9037675
2021-07-12,959.8042602539062,969.8419189453124,957.3814086914062,961.8118286132812,943.9262084960938,8585292
2021-07-13,969.149658203125,970.5572509765624,963.6347045898438,969.01123046875,950.9917602539062,6717133
2021-07-14,969.3111572265624,972.3109130859376,960.4965209960938,962.6886596679688,944.7867431640624,8532544
2021-07-15,966.8421630859376,966.8421630859376,959.2274169921876,961.0042114257812,943.1336059570312,9448356
2021-07-16,963.4962768554688,975.956787109375,963.4270629882812,974.8722534179688,956.7437744140624,8828185
2021-07-19,969.149658203125,980.2256469726562,965.5730590820312,968.6651000976562,950.6520385742188,8354449
2021-07-20,968.9188842773438,972.8416748046876,961.7656860351562,966.288330078125,948.3195190429688,6741464
2021-07-22,977.9181518554688,980.1795043945312,968.2958984375,978.7026977539062,960.5030517578124,7972397
2021-07-23,985.04833984375,985.04833984375,970.095703125,971.7802124023438,953.7092895507812,9937030
2021-07-26,972.8416748046876,978.8411254882812,955.8123168945312,958.4659423828124,940.6426391601562,12389668
2021-07-27,958.44287109375,961.627197265625,942.3826904296876,948.3821411132812,930.746337890625,10824523
2021-07-28,949.7666625976562,949.7666625976562,930.4990234375,940.2366943359376,922.7523193359376,12897848
2021-07-29,947.920654296875,957.3352661132812,943.0287475585938,947.5745239257812,929.9537353515624,13765738
2021-07-30,949.7666625976562,954.3585815429688,937.352294921875,939.2906494140624,921.8238525390624,11350608
2021-08-02,948.0591430664062,959.6427612304688,941.9904174804688,956.4584350585938,938.67236328125,10925104
2021-08-03,964.53466796875,964.9961547851562,952.6279907226562,963.4962768554688,945.579345703125,11817299
2021-08-04,966.5652465820312,975.6106567382812,963.150146484375,970.8803100585938,952.8259887695312,13169800
2021-08-05,975.7490844726562,994.4398193359376,971.1110229492188,984.9560546875,966.6400756835938,21252078
2021-08-06,982.9715576171876,990.8170776367188,959.3427734375,964.0962524414062,946.1681518554688,16620987
2021-08-09,960.3811645507812,964.4423828125,953.6893920898438,958.6043701171876,940.7784423828124,7494143
2021-08-10,960.8426513671876,975.149169921875,957.0352783203124,963.6347045898438,945.7152709960938,11919198
2021-08-11,967.7420654296876,978.379638671875,961.48876953125,977.1336059570312,958.963134765625,9184963
2021-08-12,980.6409912109376,981.240966796875,971.4571533203124,973.9954223632812,955.88330078125,8137612
2021-08-13,977.1336059570312,992.1785278320312,973.2800903320312,990.2171020507812,971.8032836914062,12780901
2021-08-16,991.9246826171876,1016.6841430664062,982.140869140625,1003.0698852539062,984.4170532226562,21935444
2021-08-17,1000.9239501953124,1008.4694213867188,991.232421875,998.801025390625,980.2276000976562,12658169
2021-08-18,1003.3006591796876,1009.2078247070312,993.424560546875,1002.6776123046876,984.0321044921876,10075860
2021-08-20,988.994140625,1002.3776245117188,986.2251586914062,991.4170532226562,972.9808959960938,9426282
2021-08-23,1003.3006591796876,1003.3006591796876,984.0560913085938,997.9241943359376,979.3670043945312,9854395
2021-08-24,999.1702270507812,1011.607666015625,994.8090209960938,1007.7772216796876,989.0369262695312,11864472
